"topic","text"
"science_fiction","the Gabriel pointed towards her destination and , under one-gee acceleration , began to build up towards her ultimate velocity , 99.1 percent of the speed of light ."
"science_fiction","We will gladly entertain your young and give them proper living quarters , in return for their help in running our fusion reactors ."
"science_fiction","The two women babbled and crooned at him ."
"humor","`` Oh '' , said the woman , `` I've seen that picture already '' ."
"science_fiction","He remembered the last time he had eaten -- actual eggs from an actual pan ."
"humor","`` Speaking of nonism : the other day , in a story about a sit-down demonstration , the Paris Herald Tribune wrote , ' The non-violence became noisier ."
"humor","It almost always works out for the best ."
"humor","When radio came in , it continued the misplaced modifier in its routines as a standard device ."
"science_fiction","He said sharply ."
"science_fiction","`` I'll be damned '' , Ekstrohm said ."
"humor","His dogs ? ?"
"humor","That tap had a slight bangish quality ."
"science_fiction","It was true that they could be approximated , but would the Ozagenians understand these approximations ? ?"
"science_fiction","He rammed his mind into focus and said to the two ladies who lay pinkly nude beside him in the desert , `` That was a good bite ."
"humor","I was , it seemed , persona non grata in every quarter , but not entirely without a staunch following of noted political thinkers and students of jurisprudence ."
"humor","In this work , his use of non-color is startling and skillful ."
"humor","Sometime on Saturday evening , August 22nd , while my family and I were dining at the Hostaria dell' Orso , in Rome , you jimmied a window of our home in Bucks County , Pennsylvania , and let yourselves into the premises ."
"humor","His hubris , deficiency of taste , and sadism carried him straightaway to the top ."
"humor","But it was even funnier after they had been told ."
"humor","Moreland asked ."
"science_fiction","Even to herself Helva sounded a little self-pitying but the truth was she was lonely , sitting on the darkened field ."
"science_fiction","`` Singing '' as applicable to herself required research ."
"science_fiction","ExPe doesn't like anybody mucking up primary evidence '' ."
"science_fiction","Do you have anything for me '' ? ?"
"humor","Possibly , the coconut-containing dessert had brought up bitter problems of administration ."
"humor","The times I can recall when I was publicly humiliated by him -- lovely dinner parties in our Trianon Suite where the collation was postponed and postponed and postponed , only to be served dry and overcooked at a table where the host's chair was vacant ; ;"
"humor","He thought a moment , then inquired , `` You mean petted '' ? ?"
"humor","Borrowing a line from Don Marquis' Mehitabel ."
"science_fiction","`` There will be no women aboard the Gabriel ."
"humor","In short , and to borrow an arboreal phrase , slash timber ."
"humor","They were a little late in getting home ."
"science_fiction","Yes , those could be commodities under this concept ."
"science_fiction","`` One of the best matches I've ever found ."
"science_fiction","`` I think they're dead '' , Ekstrohm interjected quietly ."
"science_fiction","`` I don't know about that ."
"science_fiction","`` Are you referring , sir '' , asked Helva politely , `` to the Dark Age discussions of the number of angels who could stand on the head of a pin '' ? ?"
"science_fiction","He had to study the recordings of the language of the chief nation of Ozagen , Siddo ."
"humor","all were fellows of finite charm ."
"humor","She told the sheep , ' The world is coming to an end ' ! !"
"humor","As he leads the Neurenschatz Skolkau Orchestra , Schlek gives a tremendously inspired performance of both the Baslot and Rattzhenfuut concertos , including the controversial Tschilwyk cadenza , which was included at the conductor's insistence ."
"science_fiction","What's going on here ? ?"
"humor","A workbench had a heavy top and sturdy legs , but how did you attach sturdy legs to a heavy top so that the whole thing didn't wobble like a newborn calf and ultimately collapse when you leaned on it ? ?"
"humor","Yes , Blanche was very , very sweet -- being in her company was like being drowned in warm , melted marshmallows ."
"humor","They both tried to keep smiling and winking for a long time , but it made their lips and eyelids tremble ."
"science_fiction","but even more awesome was the fact that it was trailing an enormous comet's-tail of Angels ."
"science_fiction","Hesperus , you may speak '' ."
"science_fiction","Said the whining voice ."
"science_fiction","`` You can't see them yet , Jack ."
"science_fiction","If because of this incident they become angry with Earth , I will not be permitted to go there at all ."
"science_fiction","Their meditations were approaching a violent cusp that would shape Martian art for many millennia ."
"humor","Ambiguity of a non-repetitious kind describes the dilemma one girl found herself in ."
"science_fiction","He had his own face , dark and beautiful ."
"science_fiction","Through the telescope , Jack could see that both spacesuits were still attached to it ."
"humor","When he had left , I could never remember whether he had poked them in their middles , laughingly , with a thick index finger or whether he was merely so much the sort of person who did this that one assumed the action , not bothering to look ."
"science_fiction","`` How did you know '' ? ?"
"science_fiction","`` Mike , there's Mars ."
"humor","All this , though , is simply a prelude , a curtain-raiser , for what ensues , and I doubt whether any Occidental could accurately forecast it ."
"science_fiction","Would you like to see my work '' ? ?"
"science_fiction","This discovery caused Hal anxiety ."
"science_fiction","Ekstrohm was not asleep ."
"humor","Such ambiguous exercises compound confusion by making it worse compounded , and they are sometimes expanded until the cream of the jest sours ."
"humor","It now means , in my country , homosexual '' , I said ."
"science_fiction","She was not alone for there were three other such children in the big city's special nursery ."
"science_fiction","And the crew would be automatically brought out of their suspended animation ."
"humor","At the same time , however , I availed myself of the services of that great English actor and master of make-up , Sir Gauntley Pratt , to do a `` quickie '' called The Mystery of the Mad Marquess , in which I played a young American girl who inherits a haunted castle on the English moors which is filled with secret passages and sliding panels and , unbeknownst to anyone , is still occupied by an eccentric maniac ."
"science_fiction","Shell people resembled mature dwarfs in size whatever their natal deformities were , but the well-oriented brain would not have changed places with the most perfect body in the Universe ."
"humor","Best not to get everything at once ."
"science_fiction","Then the skiff hove into sight , just a dot of light at first against the roiling blackness and crimson streaks of the Coal Sack ."
"humor","The teeth will rain from his mouth like pebbles , his wife will make him cocu with fishmongers , and a trolley car will grow in his stomach ."
"humor","`` It's only that I like to know where you go '' ."
"humor","I now felt it wiser to keep Baby-dear in school and -- during the summers -- at a camp run by the Society of Friends all year around ."
"humor","With faint heart and a brave smile , I endured his long absences from Chateau Belletch , his coldness , his indifference , his slights and his abuse ."
"science_fiction","`` And that is '' ? ?"
"humor","`` Those are the things I can do , now that I'm set up '' ."
"humor","`` By the way '' , said Mr. Blatz , packing his tools into a battered carrier , `` them power tools needs extra voltage ."
"humor","After that everything should be simpler ."
"science_fiction","Most babes survived the techniques of pituitary manipulation that kept their bodies small , eliminating the necessity of transfers from smaller to larger shells ."
"humor","`` Tell me -- what do you do at the park '' ? ?"
"humor","Perhaps that was the first thing to do ."
"science_fiction","`` You people don't have adjustable vision '' ."
"humor","His elation grew as Barco's seven disclosures brought to light one reward after another ."
"humor","Eh '' ? ?"
"science_fiction","This was not , for the Angel , just a matter of running through a logical or deductive chain , or deciding on some action from some already established premise ."
"humor","`` You what '' ? ?"
"science_fiction","Helva ."
"humor","Why , it's all right , isn't it , Mother '' ? ?"
"science_fiction","On the anniversary of her sixteenth year in her shell , Helva was unconditionally graduated and installed in her ship , the Aj ."
"humor","When he returned home , the station wagon loaded with tools , Jinny had gone with a friend to some meeting in the village , using the recently purchased second car ."
"science_fiction","She had tuned her sight to the proper degree ."
"science_fiction","The letter , scraped on stone , had been a message home ."
"science_fiction","He didn't say what would cure him ; ;"
"humor","They lay on the cellar floor in a disorderly pile ."
"science_fiction","Sonic , electronic , galvanic -- all blank ."
"science_fiction","With a short-lived sigh of relief , Jack plugged the fuses back in and threw the switch ."
"humor","Suddenly , a messenger arrives and , just before collapsing dead at his feet , informs him that the Saracens have invaded Silesia , the home province of his affianced ."
"science_fiction","`` The ship is huge '' , said Macneff , `` but the number of military men and specialists we are taking limits the linguists to one ."
"humor","So he paid a call on Barco in his cell and began their chat by stating bluntly :"
"science_fiction","Secretary Hart had taught Jack , at least partially , to be content with small beginnings in all diplomatic matters ; ;"
"humor","revulsion in the desert"
"science_fiction","We all know what is going to happen ."
"humor","It was then that I availed myself of the rights of a citizen and declared the income tax unconstitutional ."
"science_fiction","Moreover , even getting this across would be difficult ."
"humor","She made General Burnside's horse's belly do so funny when it was upside down ."
"science_fiction","Positive results start when it goes towards the hand you use to make your mark '' ."
"humor","We would have preferred , however , to have had the rest of the orchestra refrain from laughing at this and other spots on the recording , since it mars an otherwise sober , if not lofty , performance ."
"humor","They were married at a lavish ceremony which was duly recorded in Parvenu and all other magazines and newspapers , and then they honeymooned in Bermuda ."
"science_fiction","The Martians have their own setup , different from ours , and as long as they need him , we can't touch him ."
"science_fiction","Above them , the sky was the black of space , or the almost equal black of the winter sky above Minneapolis , seen against neon-lit snow ."
"humor","Far from it ; ;"
"humor","the hostess in her took over ."
"humor","Rummaging through a stack of drawers nearby , you unearthed an antique French chess set in ivory and sandalwood , which , along with two box Kodaks , you added to your haul ."
"science_fiction","Repeating it like a student telling himself that the jewel is in the lotus he sank into nirvana ."
"humor","and so they were consistently true to their principles ."
"humor","Did he trouble to memorize the very small part which I had `` tailor-made '' to his specifications , a role eventually cut down to three short speeches ? ?"
"humor","She was biting into a small red radish ; ;"
"science_fiction","Consequently no one had remembered to introduce Helva to the prospective partners ."
"science_fiction","The sail , ragged though it was , still had enough surface to catch some of the ocean of power being poured out from the nursery stars ."
"humor","But at long last came a time when I broke away from Mother and her society `` chi-chi '' in order to spend a cosy evening with Viola and her chaperon at her home ."
"science_fiction","They ignored the ladder down to the planet surface and , with only a glance at the seismological gauge to judge surface resistance , dropped to the ground ."
"science_fiction","The Boss wants performance , not gripes ."
"science_fiction","`` We regard it as fair only when each party feels that what he has received is as valuable , or more valuable , than what he has given '' ."
"humor","We caught the early train to New York ."
"science_fiction","`` I'm not worried about you mis-reading the dials , Nogol , just about a lug like you reading them at all ."
"science_fiction","`` You mean this punk can brush me aside and I've got to hold still for it '' ? ?"
"humor","Nothing in English has been ridiculed as much as the ambiguous use of words , unless it be the ambiguous use of sentences ."
"science_fiction","Maybe it would work the other way ."
"science_fiction","A scene is just a part of a play ."
"science_fiction","In that beautiful place , among all those companionable and attractive people , he sat and smiled ."
"humor","Arlene had a hard voice , too , this time ."
"science_fiction","Insomnia would ground him from the Exploration Service , on physiological if not psychological grounds ."
"science_fiction","It was foolish and snobbish to wear clothing when none of these nice people did ."
"science_fiction","Think they're intelligent , maybe hostile '' ? ?"
"humor","`` Great satire has always been clearly written and readily understandable '' , I said ."
"science_fiction","You're beautiful , beautiful , beautiful ."
"science_fiction","Where is everybody '' ? ?"
"humor","The husbands of these women and others I had met in Catatonia were distinguished only in that they were , to me at least , indistinguishable ."
"humor","Why do we not realize that no ideology believes so much in itself as it disbelieves in something else ? ?"
"science_fiction","Foster shook his halo ."
"science_fiction","instead of grabbing with hands , she manipulated mechanical extensions ."
"humor","Or was the answer less metaphysical ? ?"
"humor","Welch was worried ."
"humor","The night he saw it , a rather unpleasant situation arose when the soloist refused to approach the armadillo , complaining -- in ad-lib -- that `` it smelled '' ."
"humor","There was an air of revolt about the children -- even irreverence for their own principles ."
"humor","She added ."
"humor","and the other went on to development of the idea ."
"humor","The children rushed off to get rid of their sweaters ; ;"
"humor","the pets were a couple of Siamese cats ."
"science_fiction","She had , of course , been exposed to and enjoyed a music appreciation course which had included the better known classical works such as `` Tristan und Isolde '' , `` Candide '' , `` Oklahoma '' , `` Nozze de Figaro '' , the atomic age singers , Eileen Farrell , Elvis Presley and Geraldine Todd , as well as the curious rhythmic progressions of the Venusians , Capellan visual chromatics and the sonic concerti of the Altairians ."
"humor","Son and Daughter of Local Couple Married '' ."
"science_fiction","Dissect it '' ? ?"
"science_fiction","As for the night being warm , he would have been comfortable naked on Mount Everest but his water brothers had little tolerance for changes in temperature and pressure ; ;"
"science_fiction","The Man from Mars had interrupted him with his work half finished -- and that stupid jackass Short was certain to louse it up ."
"humor","Did older people work more slowly ? ?"
"science_fiction","She instinctively sheered away from personal discussions but she filed the comment away for further meditation ."
"science_fiction","All I know is that they are gone '' ."
"humor","Bravado has been alternately described as `` a symbol of the new grandeur of France and myself '' ( De Gaulle ) and `` a decadent , disgusting slob '' ! !"
"humor","No one knew ."
"humor","`` I've been waiting to get these things done for months '' , she said ."
"science_fiction","Mike had not heard it ; ;"
"humor","However , such a hotbed of gossip had grown up during the trial , that every precaution had to be taken to keep my visit from being whispered to the world , Society , and even , alas , to my own mother ."
"humor","Thus it was that Barco , apprehended for mere larceny , now began to suspect that one or another of his murders had been uncovered ."
"science_fiction","Jack , what is the nature of this concept '' ? ?"
"science_fiction","He rolled toward her and took her in his arms ."
"science_fiction","Before midnight he speeded his heart , resumed normal breathing , ran down his check list , uncurled and sat up ."
"humor","Then there was the General kissing his wife ."
"humor","`` Bookies , booze and babes '' , Momma said bluntly ."
"humor","He read Henry James and used to pretend profundity through eye-beamings at people ."
"humor","people who would give their teeth for a chance to get on `` Person to Person '' ; ;"
"science_fiction","What do you think I did with them '' ? ?"
"science_fiction","With one corner of his mind he knew that they were saying nothing , just expressing the euphoria of a drug so powerful that the known universe had forbidden it ."
"science_fiction","`` I think we'd better let it lay until we get a clearer picture of the ecological setup around here ."
"humor","It was among these that Hinkle identified a photograph of Barco ! !"
"humor","She said to the saleslady , `` I want a dress to put on around the house '' ."
"science_fiction","The strong negative field his suit set up would help to repel bacteria and insects ."
"science_fiction","`` Well I've been ready a long time -- goodness , we all have , but never mind , dear ; ;"
"humor","Ben Franklin said , `` Clearly spoken , Mr. Fogg ."
"science_fiction","Some time later , after a check had been made of all automatic equipment , the crew would join the others ."
"science_fiction","It just won't be easy ."
"science_fiction","Mercer spoke to her ."
"humor","I had once been a witness when Blanche had smiled and said with only minimum ruefulness , `` Oh , my souffle has collapsed '' ."
"humor","To his amazement he reached him ."
"science_fiction","And , somewhere in that enormous light , was his apartment ."
"science_fiction","In privacy he could walk around , leave the light on , read ."
"humor","Replies to requests for character reference are notorious for their evasive double-entendre ."
"science_fiction","Helva `` looked '' up and caught a fascinating panorama of regular , dirty craters on a flaky pink surface ."
"humor","He was passing through town and phoned to say hello ."
"science_fiction","`` Are you my partner '' ? ?"
"humor","I merely draw an etymological distinction , hoping that specialists and busy people like you will welcome such precision in a layman ."
"humor","Welch was on edge ."
"science_fiction","One of the babies died in the initial transferral but of Helva's `` class '' , seventeen thrived in the metal shells ."
"humor","My husband is in great pain ."
"science_fiction","But they have survived for long periods as races , whereas you are young ."
"humor","`` I woke up this morning '' , Moreland said , `` paraphrasing Lewis Carroll ."
"science_fiction","Nothing but wispy grass whipping in the keen breeze ."
"humor","Forty years ago an English writer , W. L. George , dealt with this subject in Eddies of the Day , and said , as an example , that ' Saint George for Merry England ' would not start a spirit half so quickly as ' Strike frog-eating Frenchmen dead ' '' ! !"
"humor","There was a fellow named Blatz over Smithtown way ."
"humor","The `` shooting '' went on for eight months ! !"
"humor","`` Not the least bit '' , Arlene snapped ."
"science_fiction","Occasionally he fell into a waking , gritty-eyed stupor ; ;"
"science_fiction","The gapt ."
"science_fiction","Nor did they care ."
"humor","The captain was remarking that it was a nice day for a picnic when finally one of the shovels struck an object ."
"science_fiction","`` How can a planet with so many neighbors be so lonely '' ? ?"
"science_fiction","There was no reason to leave the comfortable quarters inside the ship , except that , faced with a possibility of sleeping on solid ground , they simply had to get out ."
"humor","In the comedy of indefinite reference , it-wit occupies a prominent place because of its frequent occurrence ."
"humor","He never could keep still , even when he didn't move his feet ."
"humor","It was in the air ."
"humor","The music of Bini SalFininistas , capital LP Ab63711-r , one of the rare recordings of this titanic , yet unsung , composer ."
"humor","They had bought their house in Catatonia after investigating all the regions of suburbia surrounding New York ; ;"
"humor","Mr. Crumb would probably see him at Lodge Meeting the next night ."
"science_fiction","Mr. Booker T. W. Jones Food Technician First Class is not sad ; ;"
"science_fiction","`` But this simply requires that they behave in accordance with the dictates of their own natures , and respect yours in turn ."
"science_fiction","You've been riding on a pink ticket for six years , you know that '' ."
"science_fiction","`` Maybe '' , the captain admitted ."
"humor","But to Welch's chagrin , the police captain pooh-poohed Welch's credulity in Barco's confession ."
"humor","We have heard that after seeing Mr. Quasimodo's work it will be virtually impossible to deny the artistic validity and importance of the whole abstract movement ."
"humor","`` I may be back '' , he explained , `` and then again , I may not '' ."
"science_fiction","Between individuals , this process is called bargaining ."
"science_fiction","`` Gone '' ? ?"
"science_fiction","A man with insomnia had better avoid bad dreams of that kind if he knew what was good for him ."
"humor","The grocery the youth worked for soon tired of his depressing effect on customers , most of whom were sufficiently neurotic without the threat of incubi , and let him go ."
"science_fiction","Being reasonably sure of the reason for the long pause , however , did not make it seem any less long to Jack ."
"humor","Arlene was boosting them up when the policeman came by ."
"science_fiction","Take it out of me '' ! !"
"humor",") As for his private monies , they were rapidly dissipated in drinking , gaming and carousing ."
"humor","There's some kind of a nemesis haunting his footsteps '' ."
"science_fiction","The land of Shayol did not change ."
"science_fiction","Mercer got the blissful needle ."
"science_fiction","Still , it sometimes gives you a creepy feeling to find a rabbit or a snapping turtle on some strange world ."
"science_fiction","I am married '' ."
"humor","`` The world that was once foot-loose and fancy-free '' , he said , `` has now become screw-loose and frenzy-free ."
"humor","`` If you are trying to get us out of the brothel , the dustbin , the kitchen sink , and the tawdry living-room , you are probably wasting your time '' , Moreland told me ."
"science_fiction","but this one was not nearly as long ."
"science_fiction","His small black eyes darted inside the olive oval of his face ."
"science_fiction","But isn't this nice ''"
"science_fiction","He had to fight the bliss of super-condamine to do it ."
"humor","Francesca and Grazie were habitual committee chairmen and they usually managed to be elected co-chairmen , equal bosses , of whatever PTA or civic project was being launched ."
"humor","and frightening , as when a wife tells the police that it is funny , but her husband hasn't been home for two days and nights '' ."
"humor","( An actor must have discipline ."
"humor","Like Herbert , they were all in communications : radio , television , magazines , and advertising ."
"humor","You should hear the reverence in Fran's voice when she said `` Baccarat '' or `` Steuben '' or `` Madame Alexander '' ."
"humor","Having the deepest of maternal instincts , my heart fairly bled when I thought of the darling pink and white `` bundles from heaven '' I would have proudly given my husband ."
"science_fiction","If she could have blushed , she would have ."
"humor","Never a `` quick study '' , he now made no attempt to learn his `` lines '' and many a mile of film was wasted , many a scene -- sometimes involving as many as a thousand fellow thespians -- was taken thirty , forty , fifty times because Miss Poitrine's co-star and `` helpmate '' had never learned his part ."
"humor","`` But those are the things I built the workshop for '' , protested Mr. Crombie ."
"science_fiction","Ekstrohm asked ."
"humor","He piled everything neatly in a corner of the cellar and turned to stare at the blank stone wall ."
"humor","With quibs and gibes , the policemen again started digging ."
"science_fiction","`` I'm going to turn my generator back on , as I promised to do ."
"humor","`` Never mind ."
"humor","When a witness at court was asked if he had been kicked in the ensuing rumpus , he replied , `` No , it was in the stomach '' ."
"science_fiction","In a camp , instead of shipboard , hiding the secret was easier ."
"humor","I fought like a tigress but by the time I appealed my case to the Supreme Court ( 1937 ) , Mr. Roosevelt and his `` henchmen '' had done their `` dirty work '' all too well , even going so far as to attempt to `` pack '' the highest tribunal in the land in order to defeat little me ."
"science_fiction","I outweigh you fifty pounds and I'm fast for a big man '' ."
"humor","The suicide attempt looked to him like an opportunity to put his theory to the test ."
"science_fiction","`` Hi '' ! !"
"humor","But not hard for very long ."
"humor","While Mr. Blatz was putting up the pegboards and starting the workbench , Mr. Crombie told him of this idea about paneling the whole end of the cellar ."
"humor","Nuf sed ."
"science_fiction","The expedition that had discovered Ozagen had succeeded in correlating two thousand Siddo words with an equal number of American words ."
"science_fiction","25 ."
"humor","He followed Mr. Blatz up the cellar stairs ."
"humor","They are relentlessly rebuffed on all sides by a waitress , the police , and an intruding government tutor ."
"science_fiction","And , slowly , feeling himself icy yet burning , Hal turned ."
"humor","you can't very well sidle up to people on the street and ask if they want to buy a hot Bodhisattva ."
"science_fiction","Otherwise , straighten your halo , square your wings , and dig in ."
"science_fiction","She compared the results with tape recordings of modern singers and was not unpleased although her own tapes had a peculiar quality about them , not at all unharmonious , merely unique ."
"science_fiction","`` Nothing wrong with me that couldn't be cured '' , Nogol said ."
"humor","Did you go to their funeral '' ? ?"
"science_fiction","We seem to be bound by love ; ;"
"humor","Then it was that District Attorney Welch entered the case ."
"science_fiction","`` For now , it is clear that we were in the wrong ."
"science_fiction","Perhaps , the psychological barriers that had prevented her from conceiving Hal's child would no longer be present ."
"science_fiction","The trouble with them was that they almost never worked , and in fact an agreement `` in principle '' historically turned out to be a sure sign that neither party really wanted the quarrel settled ."
"humor","Sometimes , though , they did not seem quite human ."
"science_fiction","His mind turned the globe swiftly for him , and he visualized Africa , which used Swahili south of the Sahara Sea ."
"humor","But the Supreme Court wouldn't even hear my case ! !"
"science_fiction","`` ' Taught to grow ' '' ? ?"
"science_fiction","once again they clustered like children ."
"science_fiction","Gradually , he realized that the pentagon of Angel elders had vanished , and that the ritual learning dance of the nursery had been broken up ."
"humor","`` I'm terribly upset '' , she told a girl-friend ."
"humor","`` It took me five hours to write it that way '' ."
"science_fiction","They went downstairs , loaded a tray lavishly ."
"science_fiction","`` I held still for the same thing , didn't I ? ?"
"science_fiction","No ."
"science_fiction","Stern chase 10"
"science_fiction","It was equally clear that as of this moment , the treaty was off ."
"humor","`` The political and intellectual Left began fighting humor and comedy years ago , because they fear things they do not understand and cannot manage , such as satire and irony , such as humor and comedy ."
"humor","Moreland asked , grimly ."
"science_fiction","People never live forever ."
"humor","In it was a stone Tibetan Buddha I had picked up in Bombay , and occasionally , to make merit , my wife and I garlanded it with flowers or laid a few pennies in its lap ."
"humor","He turned over impatiently and pulled the sheet over his head against the treacherous encroachment of the dawn ."
"humor","We sat for a while drinking in silence ."
"science_fiction","The Lady Da and the hand-covered woman stayed near him ."
"humor","Could it be that it speeded up for the aged in some mysterious way , as if a bored universe were skipping through the end of the chapter just to get it over with ? ?"
"humor","And Arlene showed them how to begin ."
"science_fiction","`` Mike darling '' -- They kissed , and went on kissing ."
"humor","`` Comedy didn't die , it just went crazy ."
"science_fiction","She would work out a method , by-passing her limitations , whereby she could sing ."
"humor","In deference to country-squirehood ."
"science_fiction","He and Mary would no longer have to tear and rend at each other ; ;"
"science_fiction","The years , if they were years , went by ."
"humor","There was a short pause for reflection ."
"humor","Mother even went so far as to trump up for me matrimonial opportunities with Pasadena debs who had been educated abroad , and with those of the more lenient Los Angeles area where a debutante was a girl who had been to high school ."
"humor","Soaring to stardom along with him , Margo Felicity Brighetti , a luscious and curvaceously beguiling Italian starlet , turns in a creditable performance as an airplane mechanic ."
"science_fiction","It fits the pattern of secrecy and stealth you've been involved in '' ."
"science_fiction","`` All the more reason , then '' , Jack said , `` why we must have a treaty ."
"humor","Joking stopped and everyone gathered around ."
"science_fiction","If Hal Yarrow had been killed in a crash , he must have wanted it that way ."
"science_fiction","`` But what about our landing was lethal to the creatures '' ? ?"
"humor","sometimes he would be up before dawn , clad as a garbage collector and hurling pails into areaways to exasperate us , and thereafter would hurry to the Bronx Zoo to grimace at the lions and press cigar butts against their paws ."
"science_fiction","Actually , they said , he did sleep , but so shortly and fitfully that he forgot ."
"humor","the two youngest in our family always had to be brought in and put through tricks for his entertainment ."
"humor","Aging but still precocious , French feline enfant terrible Francoisette Lagoon has succeeded in shocking jaded old Paris again , this time with a sexy ballet scenario called The Lascivious Interlude , the story of a nymphomaniac trip-hammer operator who falls hopelessly in love with a middle-aged steam shovel ."
"science_fiction","`` Why , what a lovely voice you have '' , said one of the female visitors ."
"science_fiction","The skiff was headed for the very center of the nebula -- toward that place which , Jack knew now , could hold nothing less important than the very core of the Angel's life and religion ."
"humor","`` One day our species promises co-existence , and the next day it threatens co-extinction '' ."
"science_fiction","`` I did not perceive this essential distinction either , First-Born '' , Hesperus said at once , `` I was only practicing a concept that Jack taught me , called a deal '' ."
"humor","I sat and watched proceedings ."
"humor","`` Be careful of the word ' gay ' , for it , too , has undergone a change ."
"humor","At first Barco was evasive and shifty ."
"science_fiction","`` Please pardon me again , Sandalphon '' , said Hal ."
"science_fiction","`` You knew him '' ? ?"
"science_fiction","In fact , it had to be tried ."
"science_fiction","he felt the far , cool flash of unimportant pain , as B'dikkat dabbed the wound with a corrosive antiseptic which stopped all bleeding immediately ."
"humor","`` Not in the largest sense of the words '' , I said ."
"humor","( I watched it on television late one night last week and it `` stands up '' remarkably well , even twenty years later ."
"humor","Only George Santayana seemed to understand and appreciate the film when he wrote : `` Miss Poitrine has perpetrated the most eloquent argument for the Protestant faith yet unleashed by Hollywood '' ."
"science_fiction","I had thought we would never again speak to each other '' ."
"humor","the yellow pages of the telephone book were amazingly thin ) ."
"humor","Dogs did something to one's ego ."
"humor","Sort of remorseless , isn't it ? ?"
"humor","He went down to Mills and Bradley's Hardware Store and bought a full set of carpenter's tools , including a rotary power saw and several other pieces of power machinery that Mr. Mills said were essential for babbiting and doweling , whatever they were ."
"science_fiction","So , for all practical purposes , it was an independent nation and by now had its own organized government ( unrecognized outside its own borders ) ."
"humor","How dared they demand to `` snoop '' in private financial records , disbursements , confidential contracts and agreements ? ?"
"science_fiction","`` Of course , some of my color values do not match the old Master's and the perspective is faulty but I believe it to be a fair copy '' ."
"humor","He was glad ."
"science_fiction","His household had gone through an upset ."
"science_fiction","`` Of course you can ."
"science_fiction","Having arrived he blinked sleepily and friendlily at them , and lapsed back into the restful stupor from which he had emerged ."
"humor","`` If you can fix it up with the undertaker '' , returned the politician , `` it's all right with me '' ."
